name,smiles
CVD-0001891,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)[C@H](C(=O)Nc1ccc(OC)cc1)c1cccnc1
CVD-0001880,C=CC(=O)N(c1ccc([C@@H](C)OC)cc1)[C@@H](C(=O)Nc1cccc(CC)c1)c1cccnc1
CVD-0001901,C=CC(=O)N(c1ccc2ncsc2c1)[C@H](C(=O)Nc1cccc(CC)c1)c1cccnc1
CVD-0001902,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)[C@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
CVD-0001916,C=CC(=O)N(c1ccc2ncsc2c1)[C@@H](C(=O)Nc1ccc(Br)cc1)c1cccnc1
CVD-0001888,C=CC(=O)N(c1ccc(SC)cc1)[C@H](C(=O)Nc1ccc(Cl)cc1)c1cccnc1
CVD-0001897,C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)[C@@H](C(=O)Nc1ccc(Cl)cc1)c1cccnc1
CVD-0001899,C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)[C@H](C(=O)Nc1cccc(F)c1C)c1cccnc1
CVD-0001875,C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)[C@H](C(=O)Nc1ccc(OC)cc1)c1cccnc1
CVD-0001904,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)[C@H](C(=O)Nc1ccccc1Br)c1cccnc1
CVD-0001878,C=CC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)Nc1cccc(CC)c1)c1cccnc1
CVD-0001910,C=CC(=O)N(c1ccc(SC)cc1)[C@@H](C(=O)Nc1ccc(OC)cc1)c1cccnc1
CVD-0001906,C=CC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
CVD-0001886,C=CC(=O)N(c1ccc([C@H](C)OC)cc1)[C@H](C(=O)Nc1ccc(Cl)cc1)c1cccnc1
CVD-0001896,C=CC(=O)N(c1ccc(C(C)C)nc1)[C@@H](C(=O)NC(C)(C)C)c1cccnc1
CVD-0001914,C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)[C@H](C(=O)NC(C)(C)C)c1cccnc1
CVD-0001883,C=CC(=O)N(c1ccc(SC)cc1)[C@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
CVD-0001895,C=CC(=O)N(c1ccc2ncsc2c1)[C@@H](C(=O)NC(C)(C)C)c1cccnc1
CVD-0001907,C=CC(=O)N(c1ccc2ncsc2c1)[C@H](C(=O)Nc1ccc(Cl)cc1)c1cccnc1
CVD-0001898,C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)[C@@H](C(=O)Nc1ccc(Br)cc1)c1cccnc1
CVD-0001903,C=CC(=O)N(c1ccc(SC)cc1)[C@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
CVD-0001887,C=CC(=O)N(c1cc(C(C)(C)C)on1)[C@H](C(=O)NC(C)(C)C)c1cccnc1
CVD-0001911,C=CC(=O)N(c1ccc2ncsc2c1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
CVD-0001909,C=CC(=O)N(c1cc(C(C)(C)C)on1)[C@@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
CVD-0001873,C=CC(=O)N(c1ccc([C@H](C)OC)cc1)[C@H](C(=O)NC(C)(C)C)c1cccnc1
CVD-0001900,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)[C@@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
CVD-0001879,C=CC(=O)N(c1ccc(N(C)C)c(C)c1)[C@@H](C(=O)Nc1cccc(CC)c1)c1cccnc1
CVD-0001890,C=CC(=O)N(c1ccc(C(C)C)nc1)[C@H](C(=O)Nc1ccc(OC)cc1C)c1cccnc1
CVD-0001905,C=CC(=O)N(c1ccc(N(C)C)c(C)c1)[C@H](C(=O)Nc1c(C)cccc1CC)c1cccnc1
